Web Search interest: mere
Denmark Jan 2011 - Feb 2016

Interest over time
Week,mere
2011-01-02 - 2011-01-08,57
2011-01-09 - 2011-01-15,52
2011-01-16 - 2011-01-22,59
2011-01-23 - 2011-01-29,58
2011-01-30 - 2011-02-05,49
2011-02-06 - 2011-02-12,47
2011-02-13 - 2011-02-19,45
2011-02-20 - 2011-02-26,47
2011-02-27 - 2011-03-05,46
2011-03-06 - 2011-03-12,51
2011-03-13 - 2011-03-19,51
2011-03-20 - 2011-03-26,50
2011-03-27 - 2011-04-02,54
2011-04-03 - 2011-04-09,51
2011-04-10 - 2011-04-16,54
2011-04-17 - 2011-04-23,45
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,49
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,48
2011-05-29 - 2011-06-04,41
2011-06-05 - 2011-06-11,44
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,51
2011-06-26 - 2011-07-02,47
2011-07-03 - 2011-07-09,47
2011-07-10 - 2011-07-16,38
2011-07-17 - 2011-07-23,39
2011-07-24 - 2011-07-30,39
2011-07-31 - 2011-08-06,39
2011-08-07 - 2011-08-13,45
2011-08-14 - 2011-08-20,41
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,57
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,63
2011-09-18 - 2011-09-24,54
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,58
2011-10-09 - 2011-10-15,59
2011-10-16 - 2011-10-22,52
2011-10-23 - 2011-10-29,56
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,59
2011-11-13 - 2011-11-19,55
2011-11-20 - 2011-11-26,56
2011-11-27 - 2011-12-03,56
2011-12-04 - 2011-12-10,59
2011-12-11 - 2011-12-17,57
2011-12-18 - 2011-12-24,54
2011-12-25 - 2011-12-31,56
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,54
2012-01-22 - 2012-01-28,50
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,45
2012-02-19 - 2012-02-25,46
2012-02-26 - 2012-03-03,50
2012-03-04 - 2012-03-10,52
