Web Search interest: typer
Denmark Jan 2011 - Feb 2016

Interest over time
Week,typer
2011-01-02 - 2011-01-08,64
2011-01-09 - 2011-01-15,70
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,62
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,55
2011-02-13 - 2011-02-19,48
2011-02-20 - 2011-02-26,70
2011-02-27 - 2011-03-05,66
2011-03-06 - 2011-03-12,56
2011-03-13 - 2011-03-19,69
2011-03-20 - 2011-03-26,72
2011-03-27 - 2011-04-02,50
2011-04-03 - 2011-04-09,64
2011-04-10 - 2011-04-16,66
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,80
2011-05-01 - 2011-05-07,74
2011-05-08 - 2011-05-14,55
2011-05-15 - 2011-05-21,58
2011-05-22 - 2011-05-28,70
2011-05-29 - 2011-06-04,58
2011-06-05 - 2011-06-11,72
2011-06-12 - 2011-06-18,58
2011-06-19 - 2011-06-25,49
2011-06-26 - 2011-07-02,49
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,37
2011-07-17 - 2011-07-23,41
2011-07-24 - 2011-07-30,42
2011-07-31 - 2011-08-06,37
2011-08-07 - 2011-08-13,47
2011-08-14 - 2011-08-20,44
2011-08-21 - 2011-08-27,47
2011-08-28 - 2011-09-03,54
2011-09-04 - 2011-09-10,61
2011-09-11 - 2011-09-17,56
2011-09-18 - 2011-09-24,51
2011-09-25 - 2011-10-01,65
2011-10-02 - 2011-10-08,60
2011-10-09 - 2011-10-15,47
2011-10-16 - 2011-10-22,54
2011-10-23 - 2011-10-29,69
2011-10-30 - 2011-11-05,73
2011-11-06 - 2011-11-12,61
2011-11-13 - 2011-11-19,60
2011-11-20 - 2011-11-26,63
2011-11-27 - 2011-12-03,67
2011-12-04 - 2011-12-10,60
2011-12-11 - 2011-12-17,71
2011-12-18 - 2011-12-24,44
2011-12-25 - 2011-12-31,42
2012-01-01 - 2012-01-07,58
2012-01-08 - 2012-01-14,69
2012-01-15 - 2012-01-21,67
2012-01-22 - 2012-01-28,59
2012-01-29 - 2012-02-04,57
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,55
2012-02-19 - 2012-02-25,58
2012-02-26 - 2012-03-03,62
2012-03-04 - 2012-03-10,60
2012-03-11 - 2012-03-17,62
2012-03-18 - 2012-03-24,65
2012-03-25 - 2012-03-31,57
2012-04-01 - 2012-04-07,49
2012-04-08 - 2012-04-14,73
2012-04-15 - 2012-04-21,63
2012-04-22 - 2012-04-28,60
2012-04-29 - 2012-05-05,61
2012-05-06 - 2012-05-12,57
2012-05-13 - 2012-05-19,61
2012-05-20 - 2012-05-26,56
2012-05-27 - 2012-06-02,71
2012-06-03 - 2012-06-09,57
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,57
2012-06-24 - 2012-06-30,43
2012-07-01 - 2012-07-07,40
2012-07-08 - 2012-07-14,35
2012-07-15 - 2012-07-21,39
2012-07-22 - 2012-07-28,47
2012-07-29 - 2012-08-04,39
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,51
2012-08-19 - 2012-08-25,56
2012-08-26 - 2012-09-01,55
2012-09-02 - 2012-09-08,64
2012-09-09 - 2012-09-15,60
2012-09-16 - 2012-09-22,60
2012-09-23 - 2012-09-29,72
2012-09-30 - 2012-10-06,74
2012-10-07 - 2012-10-13,70
2012-10-14 - 2012-10-20,55
2012-10-21 - 2012-10-27,59
2012-10-28 - 2012-11-03,60
2012-11-04 - 2012-11-10,62
2012-11-11 - 2012-11-17,65
2012-11-18 - 2012-11-24,52
2012-11-25 - 2012-12-01,60
2012-12-02 - 2012-12-08,72
2012-12-09 - 2012-12-15,71
2012-12-16 - 2012-12-22,57
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,54
2013-01-06 - 2013-01-12,69
2013-01-13 - 2013-01-19,71
2013-01-20 - 2013-01-26,68
2013-01-27 - 2013-02-02,62
2013-02-03 - 2013-02-09,53
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,64
2013-03-03 - 2013-03-09,72
2013-03-10 - 2013-03-16,71
2013-03-17 - 2013-03-23,63
2013-03-24 - 2013-03-30,47
2013-03-31 - 2013-04-06,66
2013-04-07 - 2013-04-13,71
2013-04-14 - 2013-04-20,66
2013-04-21 - 2013-04-27,67
2013-04-28 - 2013-05-04,80
2013-05-05 - 2013-05-11,62
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,57
2013-05-26 - 2013-06-01,76
2013-06-02 - 2013-06-08,60
2013-06-09 - 2013-06-15,66
2013-06-16 - 2013-06-22,73
2013-06-23 - 2013-06-29,53
2013-06-30 - 2013-07-06,43
2013-07-07 - 2013-07-13,45
2013-07-14 - 2013-07-20,40
2013-07-21 - 2013-07-27,41
2013-07-28 - 2013-08-03,48
2013-08-04 - 2013-08-10,50
2013-08-11 - 2013-08-17,59
2013-08-18 - 2013-08-24,64
2013-08-25 - 2013-08-31,73
2013-09-01 - 2013-09-07,68
2013-09-08 - 2013-09-14,77
2013-09-15 - 2013-09-21,69
2013-09-22 - 2013-09-28,75
2013-09-29 - 2013-10-05,72
2013-10-06 - 2013-10-12,73
2013-10-13 - 2013-10-19,58
2013-10-20 - 2013-10-26,67
2013-10-27 - 2013-11-02,74
2013-11-03 - 2013-11-09,67
2013-11-10 - 2013-11-16,72
2013-11-17 - 2013-11-23,62
2013-11-24 - 2013-11-30,74
2013-12-01 - 2013-12-07,69
2013-12-08 - 2013-12-14,71
2013-12-15 - 2013-12-21,81
2013-12-22 - 2013-12-28,48
2013-12-29 - 2014-01-04,52
2014-01-05 - 2014-01-11,76
2014-01-12 - 2014-01-18,74
2014-01-19 - 2014-01-25,71
