Week,kvinder
2011-01-02 - 2011-01-08,36
2011-01-09 - 2011-01-15,37
2011-01-16 - 2011-01-22,39
2011-01-23 - 2011-01-29,38
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,36
2011-02-13 - 2011-02-19,37
2011-02-20 - 2011-02-26,34
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,38
2011-03-13 - 2011-03-19,38
2011-03-20 - 2011-03-26,39
2011-03-27 - 2011-04-02,36
2011-04-03 - 2011-04-09,35
2011-04-10 - 2011-04-16,38
2011-04-17 - 2011-04-23,36
2011-04-24 - 2011-04-30,37
2011-05-01 - 2011-05-07,36
2011-05-08 - 2011-05-14,36
2011-05-15 - 2011-05-21,35
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,34
2011-06-05 - 2011-06-11,35
2011-06-12 - 2011-06-18,37
2011-06-19 - 2011-06-25,31
2011-06-26 - 2011-07-02,35
2011-07-03 - 2011-07-09,33
2011-07-10 - 2011-07-16,34
2011-07-17 - 2011-07-23,33
2011-07-24 - 2011-07-30,34
2011-07-31 - 2011-08-06,33
2011-08-07 - 2011-08-13,33
2011-08-14 - 2011-08-20,34
2011-08-21 - 2011-08-27,34
2011-08-28 - 2011-09-03,33
2011-09-04 - 2011-09-10,37
2011-09-11 - 2011-09-17,37
2011-09-18 - 2011-09-24,36
2011-09-25 - 2011-10-01,36
2011-10-02 - 2011-10-08,35
2011-10-09 - 2011-10-15,35
2011-10-16 - 2011-10-22,34
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,33
2011-11-06 - 2011-11-12,32
2011-11-13 - 2011-11-19,35
2011-11-20 - 2011-11-26,37
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,59
2011-12-11 - 2011-12-17,74
2011-12-18 - 2011-12-24,37
2011-12-25 - 2011-12-31,32
2012-01-01 - 2012-01-07,33
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,31
2012-01-22 - 2012-01-28,34
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,34
2012-02-12 - 2012-02-18,32
2012-02-19 - 2012-02-25,36
2012-02-26 - 2012-03-03,31
2012-03-04 - 2012-03-10,35
2012-03-11 - 2012-03-17,33
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,36
2012-04-01 - 2012-04-07,35
2012-04-08 - 2012-04-14,37
2012-04-15 - 2012-04-21,37
2012-04-22 - 2012-04-28,38
2012-04-29 - 2012-05-05,36
2012-05-06 - 2012-05-12,38
2012-05-13 - 2012-05-19,36
2012-05-20 - 2012-05-26,36
2012-05-27 - 2012-06-02,37
2012-06-03 - 2012-06-09,35
2012-06-10 - 2012-06-16,38
2012-06-17 - 2012-06-23,35
2012-06-24 - 2012-06-30,30
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,33
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,36
2012-07-29 - 2012-08-04,49
2012-08-05 - 2012-08-11,47
2012-08-12 - 2012-08-18,34
2012-08-19 - 2012-08-25,36
2012-08-26 - 2012-09-01,36
2012-09-02 - 2012-09-08,37
2012-09-09 - 2012-09-15,35
2012-09-16 - 2012-09-22,38
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,37
2012-10-07 - 2012-10-13,36
2012-10-14 - 2012-10-20,33
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,34
2012-11-04 - 2012-11-10,36
2012-11-11 - 2012-11-17,36
2012-11-18 - 2012-11-24,38
2012-11-25 - 2012-12-01,41
2012-12-02 - 2012-12-08,50
2012-12-09 - 2012-12-15,60
2012-12-16 - 2012-12-22,39
2012-12-23 - 2012-12-29,42
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,36
2013-01-20 - 2013-01-26,37
2013-01-27 - 2013-02-02,36
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,34
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,37
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,37
2013-03-17 - 2013-03-23,36
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,41
2013-04-07 - 2013-04-13,38
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,38
2013-05-05 - 2013-05-11,39
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,37
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,38
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,36
2013-07-14 - 2013-07-20,36
2013-07-21 - 2013-07-27,42
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,37
2013-08-11 - 2013-08-17,37
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,38
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,41
2013-09-15 - 2013-09-21,40
2013-09-22 - 2013-09-28,41
2013-09-29 - 2013-10-05,38
2013-10-06 - 2013-10-12,40
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,40
